Handle,Price,ImageSrc,Body,Vendor,Type,Tags,Color,VariantGrams,VariantInventoryTracker,VariantInventoryQty,ImageAltText,VariantImage,Style#,AVAILABLE_SIZES,SUGGESTED_PRICE,Category,Size,Weight,PieceCost,Size value,MSRP,front,back,FRONT FLAT,BACK FLAT,PRODUCT_MEASUREMENTS,DECORATION_SPEC_SHEET,barcode,Title,Hex,Style,Sorting helper,tag2
NE302,13.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/NE302_black_front.jpg,"Get into the game without losing your cool. Spacer Mesh panels on cap back allow cooling ventilation on even the warmest days.<ul><li>Fabric: 100% cotton in front two panels; 100% polyester Spacer Mesh in mid and back panels</li><li>Structure: Structured</li><li>Profile: Mid</li><li>Closure: Stretch fit</li><li>39THIRTY FIT: Features a casual look with stretch-to-fit styling, a contoured crown and precurved visor. Structured for stability with a classic cap shape.</li></ul><br><i>New Era products may not be resold without embellishment.</i>",New Era,0,"Youth,Caps",Black/ Black,0.21,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/NE302_black_front.jpg,NE302,Youth Sizes: Toddler/Child(6-6 3/8)  Child/Youth(6 1/2-6 3/4),13.98,0,T/C,0,8.99,3,13.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/NE302_blackwhite_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/NE302_blackwhite_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/NE302_blackwhite_front.jpg, ,NE302_productmeasurement.pdf,https://www.sanmar.com/p/5222/decorationSpecSheet,1.91E+11,New Era® Youth Stretch Mesh Cap. NE302,0,NE302,NE302Black/ Black3,
PC149Y,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/PC149Y_Rainbow_Model_FRONT_120212.jpg,"You'll appreciate how outta sight this window pattern can be with your logo. Starting with a prepared-for-dye blank ensures vibrant color and a standard fit.  <ul><li>5.4-ounce, 100% cotton</li> </ul> <em>The tie-dye process infuses each garment with unique character. Please allow for slight color variation.</em>",Port & Company,0,"Youth,T-Shirts",Rainbow,0.22,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/PC149Y_Rainbow_Model_FRONT_120212.jpg,PC149Y,Youth Sizes: XS-XL,10.98,0,XS,0,7.49,1,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/PC149Y_Rainbow_Model_FRONT_120212.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f4/PC149Y_Rainbow_Model_BACK_120212.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/PC149Y_rainbow_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/PC149Y_rainbow_flat_back.jpg ,PC149Y_productmeasurement.pdf,https://www.sanmar.com/p/5256/decorationSpecSheet,1.91E+11,Port & Company® - Youth Window Tie-Dye Tee. PC149Y,0,PC149Y,PC149YRainbow1,
YST500,9.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/YST500_Black_Model_Front_120212.jpg,"A moisture-wicking, breathable tank with open-hole mesh for a classic look and PosiCharge technology for improved color-fastness. <ul><li>3.6-ounce, 100% polyester mesh with PosiCharge technology</li><li>White mesh reverse</li><li>Double-layer construction with open, individually hemmed layers for easy decoration</li></ul>",Sport-Tek,0,"Youth,Activewear,T-Shirts",Black/ White,0.31,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/YST500_Black_Model_Front_120212.jpg,YST500,Youth Sizes: XS-XL,9.98,0,XS,0,5.99,1,9.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/YST500_DeepOrange_Model_FRONT_120212.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/YST500_DeepOrange_Model_FRONT_120212.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/YST500_DeepOrange_Model_FRONT_120212.jpg, ,YST500_productmeasurement.pdf,https://www.sanmar.com/p/5269/decorationSpecSheet,1.91E+11,Sport-Tek® Youth PosiCharge® Classic Mesh Reversible Tank. YST500,0,YST500,YST500Black/ White1,
YST510,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/YST510_black_model_front_032017.jpg,"A moisture-wicking, breathable short with the classic look of open-hole mesh combined with PosiCharge technology for equally enduring color. <ul><li>3.6-ounce, 100% polyester mesh with PosiCharge technology</li><li>Dyed-to-match tricot lining</li><li>Double-layer construction with open, individually hemmed layers for easy decoration</li><li>Elastic waistband </li><li>No drawcord</li><li>7-inch inseam</li></ul><p><i>If applying sublimation, special care must be taken throughout the process. Contact your decorator for more details.</i></p>",Sport-Tek,0,Shorts,Black,0.29,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/YST510_black_model_front_032017.jpg,YST510,Youth Sizes: XS-XL,10.98,0,XS,0,7.49,1,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/YST510_maroon_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/YST510_maroon_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2012/f12/YST510_Maroon_Flat_Front_072412.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f8/YST510_maroon_form_back.jpg ,YST510_productmeasurement.pdf,https://www.sanmar.com/p/5271/decorationSpecSheet,1.91E+11,Sport-Tek® Youth PosiCharge® Classic Mesh Short. YST510,0,YST510,YST510Black1,
Y540,13.98,https://cdnm.sanmar.com/imglib/mresjpg/2019/f3/Y540_black_model_front_032018.jpg,"We took our legendary Silk Touch Polo and made it work even harder. The durable, easy care Silk Touch Performance Polo wicks moisture, resists snags and thanks to PosiCharge<sup>&#174;</sup> technology, holds onto its color for a professional look that lasts. There's just no higher performing polo at this price.  <UL><LI> 4-ounce, 100% polyester double knit with PosiCharge technology; White is 4.3-ounce for increased coverage </LI><LI> Self-fabric collar </LI><LI> Tag-free label </LI><LI> 3-button placket with dyed-to-match buttons </LI><LI> Open hem sleeves </LI></UL><p><i>If applying sublimation, special care must be taken throughout the process. Contact your decorator for more details.</i></p>",Port Authority,0,"Youth,Polos/Knits",Black,0.24,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2019/f3/Y540_black_model_front_032018.jpg,Y540,Youth Sizes: XS-XL,13.98,0,XS,0,8.99,1,13.98,https://cdnm.sanmar.com/imglib/mresjpg/2019/f3/Y540_steelgrey_model_front_032018.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f3/Y540_steelgrey_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f2/Y540_steelgrey_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f11/Y540_steelgrey_flat_back.jpg ,Y540_productmeasurement.pdf,https://www.sanmar.com/p/5295/decorationSpecSheet,1.91E+11,Port Authority® Youth Silk Touch Performance Polo. Y540,0,Y540,Y540Black1,
Y317,35.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y317_black_model_front.jpg,"A reliable soft shell at a real value. This go-to basic sheds wind and rain and is a perfect choice for corporate or team uniforming. <UL><LI> 100% polyester woven shell bonded to a water-resistant film insert and a 100% polyester microfleece lining</LI><LI> 1000MM fabric waterproof rating</LI><LI> 1000G/M2 fabric breathability rating</LI><li>Wind-resistant, water-repellent and rental-friendly</li><LI> Zip-through cadet collar with chin guard</LI><LI> Reverse coil zippers</LI><LI> Front zippered pockets</LI><LI> Open cuffs and hem</LI></UL>",Port Authority,0,"Youth,Outerwear",Black,0.75,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y317_black_model_front.jpg,Y317,Youth Sizes: XS-XL,35.98,0,XS,0,21.99,1,35.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/Y317_dressbluenavy_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/Y317_dressbluenavy_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/Y317_dressbluenavy_flat_front.jpg , ,Y317_productmeasurement.pdf,https://www.sanmar.com/p/5505/decorationSpecSheet,1.91E+11,Port Authority® Youth Core Soft Shell Jacket. Y317,0,Y317,Y317Black1,
YST254,33.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/YST254_black_model_front.jpg,"A proven winner improved with an updated fit, beefier rib knit details and a three-panel hood. It's also colorfast and resists shrinkage.  <UL><LI> 9-ounce, 65/35 ring spun combed cotton/poly fleece </LI><LI> Twill-taped neck </LI><LI> No drawcord at hood </LI><LI> 2x2 rib knit cuffs and hem with spandex </LI><LI> Fully coverseamed </LI><LI> Front pouch pocket </LI></UL><p>*<em>Please note: This product is transitioning from woven labels to tag-free labels. Your order may contain a combination of both labels</em></p>",Sport-Tek,0,"Youth,Sweatshirts",Black,0.85,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/YST254_black_model_front.jpg,YST254,Youth Sizes: XS-XL,33.98,0,XS,0,18.99,1,29.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/YST254_vintagehthr_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f12/YST254_vintagehthr_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f8/YST254_vintageheather_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f8/YST254_vintageheather_flat_back.jpg ,YST254_productmeasurement.pdf,https://www.sanmar.com/p/5514/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Pullover Hooded Sweatshirt. YST254,0,YST254,YST254Black1,
Y219,25.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y219_black_model_front.jpg,"Ready for layering, this super soft, low-pill, midweight fleece vest offers great warmth at a great price. <UL><LI> 8.3-ounce, 100% polyester</LI><LI> Twill-taped neck</LI><LI> Reverse coil zipper</LI><LI> Zipper garage</LI><LI> Knotted zipper pulls</LI><LI> Tricot-lined armholes</LI><LI> Front zippered pockets</LI><LI> No drawcord or toggles at hem</LI></UL>",Port Authority,0,"Youth,Outerwear,Sweatshirts",Black,0.52,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y219_black_model_front.jpg,Y219,Youth Sizes: XS-XL,25.98,0,XS,0,14.99,1,25.98,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y219_black_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f12/Y219_black_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/Y219_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f11/Y219_black_flat_back.jpg ,Y219_productmeasurement.pdf,https://www.sanmar.com/p/5727/decorationSpecSheet,1.91E+11,Port Authority® Youth Value Fleece Vest. Y219,0,Y219,Y219Black1,
KP55Y,9.28,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/KP55Y_athletichthr_model_front.jpg,"With an easy-to-care-for blend and a stain-release finish, this comfortable polo is a real value.<UL><LI> 5.5-ounce, 50/50 cotton/poly </LI><LI> Made with up to 5% recycled polyester from plastic bottles</LI><LI> Stain-release finish</LI><LI> 1x1 rib knit collar and cuffs</LI><LI> 3-button placket with dyed-to-match buttons</LI><LI> Double-needle hem</LI></UL>",Port & Company,0,"Youth,Polos/Knits",Athletic Heather,0.31,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/KP55Y_athletichthr_model_front.jpg,KP55Y,Youth Sizes: XS-XL,9.28,0,XS,0,5.64,1,9.28,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/KP55Y_charcoal_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f12/KP55Y_charcoal_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/KP55Y_charcoal_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f11/KP55Y_charcoal_flat_back.jpg ,KP55Y_productmeasurement.pdf,https://www.sanmar.com/p/5729/decorationSpecSheet,1.91E+11,Port & Company® Youth Core Blend Jersey Knit Polo. KP55Y,0,KP55Y,KP55YAthletic Heather1,
42000B,8.8,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_charcoal_model_front_072014.jpg,"<ul><li> 5-ounce, 100% polyester jersey knit</li><li>Moisture-wicking </li><li>Anti-odor properties </li><li>Recycled, high-performing black tear-away label</li><li> Seamed single-needle 3/4"" collar</li><li> Double-needle sleeves and hem</li><li> Safety Green is compliant with ANSI/ISEA 107 high visibility standards for background color</li></ul><p>Due to the nature of 100% polyester performance fabrics, special care must be taken throughout the printing process.</p><p><i>Given the extreme heat required for sublimation, please consult with your decorator. It is highly recommended to sample test product by color before production.</i></p><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p><p>Please note: This product is transitioning from heat transfer labels to tearaway labels. Your order may contain a combination of both labels.</p>",Gildan,0,"Youth,T-Shirts",Charcoal,0.18,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_charcoal_model_front_072014.jpg,42000B,Youth Sizes: XS-XL,8.8,0,XS,0,5.4,1,8.8,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_black_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_black_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/42000B_black_flat_back.jpg ,42000B_productmeasurement.pdf,https://www.sanmar.com/p/5852/decorationSpecSheet,8.22E+11,Gildan® Youth Gildan Performance® T-Shirt. 42000B,0,42000B,42000BCharcoal1,
18200B,17.79,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/18200B_black_model_front.jpg,"<UL><LI>8-ounce, 50/50 cotton/poly  </LI><LI>Covered elastic waistband</LI><LI>No drawcord at waist</LI><LI>Elastic cuffs</LI><LI>Double-needle bottom hem</LI><li>Recycled, high-performing black tear-away label</li></UL><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p>",Gildan,0,"Youth,Pants",Black,0.46,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/18200B_black_model_front.jpg,18200B,Youth Sizes: S-XL,17.79,0,S,0,10.89,2,17.78,https://cdnm.sanmar.com/imglib/mresjpg/2013/f9/18200B_navy_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f12/18200B_navy_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f10/18200B_navy_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/18200B_navy_flat_back.jpg ,18200B_productmeasurement.pdf,https://www.sanmar.com/p/5931/decorationSpecSheet,8.22E+11,Gildan® Youth Heavy Blend Sweatpant. 18200B,0,18200B,18200BBlack2,
YST350LS,8.98,https://cdnm.sanmar.com/imglib/mresjpg/2021/f6/YST350LS_black_model_front.jpg,"Lightweight, roomy and highly breathable, these moisture-wicking, value-priced tees feature PosiCharge technology to lock in color and prevent logos from fading.<ul><li> 3.8-ounce, 100% polyester interlock with PosiCharge technology</li><li> Removable tag for comfort and relabeling</li><li> Set-in sleeves</li></ul><p><i>Given the extreme heat required for sublimation, please consult with your decorator. It is highly recommended to sample test product by color before production.</i></p>",Sport-Tek,0,"Youth,Activewear,T-Shirts,Long Sleeve",Black,0.23,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2021/f6/YST350LS_black_model_front.jpg,YST350LS,Youth Sizes: XS-XL,8.98,0,XS,0,5.49,1,8.98,https://cdnm.sanmar.com/imglib/mresjpg/2023/f13/YST350LS_IRONGREYHEATHER_Model_Front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2023/f13/YST350LS_IRONGREYHEATHER_Model_Back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2023/f13/YST350LS_IRONGREYHEATHER_Form_Front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2023/f13/YST350LS_IRONGREYHEATHER_Form_Back.jpg ,YST350LS_productmeasurement.pdf,https://www.sanmar.com/p/6037/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Long Sleeve PosiCharge® Competitor Tee. YST350LS,0,YST350LS,YST350LSBlack1,
YST361,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/YST361_vntghthrblack_model_front_112013.jpg,"Extra color at the neck and sides with exceptional breathability, moisture-wicking, snag-resistant performance and value.<ul><li> 3.8-ounce, 100% polyester jersey</li><li> 3.8-ounce, 100% polyester interlock panels</li><li> Removable tag for comfort and relabeling</li><li> Raglan sleeves</LI></ul><p>*<em>Due to the nature of 100% polyester performance fabrics, special care must be taken throughout the screen printing process.</em></p>",Sport-Tek,0,"Youth,Activewear,T-Shirts",Vintage Heather/ Black,0.22,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/YST361_vntghthrblack_model_front_112013.jpg,YST361,Youth Sizes: XS-XL,10.98,0,XS,0,7.49,1,10.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/YST361_vntghthrtruenavy_model_front_112013.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f3/YST361_vntghthrtruenavy_model_back_112013.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f1/YST361_vntghthrtruenavy_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/YST361_vintageheathertruenavy_flat_back.jpg ,YST361_productmeasurement.pdf,https://www.sanmar.com/p/6038/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Heather Colorblock Contender Tee. YST361,0,YST361,YST361Vintage Heather/ Black1,
YST244,29.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST244_black_model_front_072014.jpg,"Our Sport-Wick technology transforms anti-static fleece into an excellent warm up and cool down option. Your top layer releases moisture from inner layers, while keeping your skin comfortably dry. <ul><li>5.5-ounce, 100% polyester</li><li> Three-panel hood</li><li> Self-fabric hood lining</li><li> No drawcord at hood</li><li> Taped neck</li><li> Self-fabric cuffs and hem</li><li> Front pouch pocket</li></ul><p>*<em>Please note: This product is transitioning from woven labels to tag-free labels. Your order may contain a combination of both labels</em></p><br/>",Sport-Tek,0,"Youth,Sweatshirts",Black,0.63,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST244_black_model_front_072014.jpg,YST244,Youth Sizes: XS-XL,29.98,0,XS,0,18.99,1,29.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST244_navy_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST244_navy_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f17/YST244_navy_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f17/YST244_navy_flat_back.jpg ,YST244_productmeasurement.pdf,https://www.sanmar.com/p/6316/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Sport-Wick® Fleece Hooded Pullover. YST244,0,YST244,YST244Black1,
YST237,27.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST237_black_model_front_072014.jpg,"Designed for performance and comfort, Sport-Wick moisture-wicking technology makes these anti-static fleece pants go beyond typical ""sweats"". Coordinates with all Sport-Wick Fleece pullovers and jackets.  <ul><li>5.5-ounce, 100% polyester </li><li> Elastic waistband </li><li> No drawcord </li><li> Front slash pockets </li><li> Open hem cuffs </li></ul><p>*<em>Please note: This product is transitioning from woven labels to tag-free labels. Your order may contain a combination of both labels</em></p> <br/>*Due to the nature of 100% polyester performance fabrics, special care must be taken throughout the printing process.",Sport-Tek,0,"Youth,Pants",Black,1.08,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST237_black_model_front_072014.jpg,YST237,Youth Sizes: XS-XL,27.98,0,XS,0,17.99,1,27.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST237_black_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/YST237_black_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f7/YST237_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f11/YST237_black_flat_back.jpg ,YST237_productmeasurement.pdf,https://www.sanmar.com/p/6314/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Sport-Wick® Fleece Pant. YST237,0,YST237,YST237Black1,
PC54YLS,8.7,https://cdnm.sanmar.com/imglib/mresjpg/2021/f11/PC54YLS_aquaticblue_model_front.jpg,"An indispensable t-shirt in our classic silhouette--with a very friendly price. <ul><li> 5.4-ounce, 100% cotton </li><li>90/10 cotton/poly (Athletic Heather) </li><li>50/50 cotton/poly (Dark Heather Grey, Heather Navy, Neon Pink)</li><li> 1x1 rib knit cuffs </li><li>Removable tag for comfort and relabeling</li> </ul>",Port & Company,0,"Youth,T-Shirts,Long Sleeve",Aquatic Blue,0.28,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2021/f11/PC54YLS_aquaticblue_model_front.jpg,PC54YLS,Youth Sizes: XS-XL,8.7,0,XS,0,5.35,1,8.7,https://cdnm.sanmar.com/imglib/mresjpg/2021/f11/PC54YLS_sangria_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2021/f11/PC54YLS_sangria_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f11/PC54YLS_sangria_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f10/PC54YLS_sangria_flat_back.jpg ,PC54YLS_productmeasurement.pdf,https://www.sanmar.com/p/6462/decorationSpecSheet,1.91E+11,Port & Company® Youth Long Sleeve Core Cotton Tee. PC54YLS,0,PC54YLS,PC54YLSAquatic Blue1,
PC146Y,28.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/PC146Y_black_model_front_072014.jpg,"This throwback look is colorful and comfortable. This sweatshirt is created with a prepared-for-dye blank and hand dyed for a vibrant look.<ul><li> 7.8-ounce, 80/20 cotton/poly fleece</li><li> Two-ply hood</li><li> No drawcord at hood</li><li> Front pouch pocket</li></ul><br>The tie-dye process infuses each garment with unique character. Please allow for slight color variation.<br/>",Port & Company,0,"Youth,Sweatshirts",Black,0.67,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/PC146Y_black_model_front_072014.jpg,PC146Y,Youth Sizes: XS-XL,28.98,0,XS,0,18.49,1,28.98,https://cdnm.sanmar.com/imglib/mresjpg/2016/f6/PC146Y_neonrainbow_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f6/PC146Y_neonrainbow_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f6/PC146Y_neonrainbow_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2016/f5/PC146Y_neonrainbow_flat_back.jpg ,PC146Y_productmeasurement.pdf,https://www.sanmar.com/p/6467/decorationSpecSheet,1.91E+11,Port & Company® Youth Tie-Dye Pullover Hooded Sweatshirt. PC146Y,0,PC146Y,PC146YBlack1,
PC380Y,5.8,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/PC380Y_deepnavy_model_front_072014.jpg,"Rated UPF50 to help combat harmful UV rays, this tee also performs with Dry Zone Â® moisture-wicking technology to keep you cool, dry and comfortable.   <ul><li> 3.8-ounce, 100% polyester</li><li> Removable tag for comfort and relabeling</li></ul><br/>Due to the nature of 100% polyester performance fabrics, special care must be taken throughout the printing process.<p><i>Given the extreme heat required for sublimation, please consult with your decorator. It is highly recommended to sample test product by color before production.</i></p><p>Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.</p>",Port & Company,0,"Youth,Activewear,T-Shirts",Deep Navy,0.15,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/PC380Y_deepnavy_model_front_072014.jpg,PC380Y,Youth Sizes: XS-XL,5.8,0,XS,0,3.9,1,5.8,https://cdnm.sanmar.com/imglib/mresjpg/2015/f22/PC380Y_neonblue_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f22/PC380Y_neonblue_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f22/PC380Y_neonblue_form_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f22/PC380Y_neonblue_flat_back.jpg ,PC380Y_productmeasurement.pdf,https://www.sanmar.com/p/6524/decorationSpecSheet,1.91E+11,Port & Company® Youth Performance Tee. PC380Y,0,PC380Y,PC380YDeep Navy1,
YC914,5.58,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/C914_black_front.jpg,"An unstructured version of our popular structured twill cap, this value-priced style has a low profile and plenty of colors to uniform the team.<ul><li> Fabric: 100% cotton twill </li><li> Structure: Unstructured </li><li> Profile: Low </li><li> Closure: Hook and loop</li></ul>",Port & Company,0,"Youth,Caps",Black,0.17,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/C914_black_front.jpg,YC914, ,5.58,0,OSFA,0,3.79,3,5.58,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/C914_navy_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f1/C914_navy_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/C914_navy_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f1/C914_navy_back.jpg ,YC914_productmeasurement.pdf,https://www.sanmar.com/p/6609/decorationSpecSheet,1.91E+11,Port & Company® Youth Six-Panel Unstructured Twill Cap. YC914,0,YC914,YC914Black3,
YST360,9.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/YST360_deeporangehthr_model_front_122014.jpg,"Ultra breathability meets an excellent snag-resistant, heathered appearance at an equally great value.<ul><li> 3.8-ounce, 100% polyester jersey</li><li> Removable tag for comfort and relabeling</li><li> Set-in sleeves</LI></ul><p>*<em>Due to the nature of 100% polyester performance fabrics, special care must be taken throughout the screen printing process.</em></p>",Sport-Tek,0,"Youth,Activewear,T-Shirts",Deep Orange Heather,0.2,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/YST360_deeporangehthr_model_front_122014.jpg,YST360,Youth Sizes: XS-XL,9.98,0,XS,0,5.99,1,9.98,https://cdnm.sanmar.com/imglib/mresjpg/2014/f20/YST360_graphitehthr_model_front_122014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f21/YST360_graphitehthr_model_back_122014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2015/f1/YST360_graphitehthr_form_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f1/YST360_graphitehthr_form_back.jpg ,YST360_productmeasurement.pdf,https://www.sanmar.com/p/6678/decorationSpecSheet,1.91E+11,Sport-Tek® Youth Heather Contender Tee. YST360,0,YST360,YST360Deep Orange Heather1,
